vial_row	vial_col	layout_row	layout_col	canvas_x	canvas_y	canvas_width	canvas_height	canvas_rotation	description
4	10	0	0	20.0	20.0	78	60	0.0	L Top 1
4	9	0	1	102.0	20.0	78	60	0.0	L Top 2
4	8	0	2	184.0	20.0	78	60	0.0	L Top 3
4	7	0	3	266.0	20.0	78	60	0.0	L Top 4
4	6	0	4	348.0	20.0	78	60	0.0	L Top 5
5	10	1	0	20.0	84.0	78	60	0.0	L Home 1
5	9	1	1	102.0	84.0	78	60	0.0	L Home 2
5	8	1	2	184.0	84.0	78	60	0.0	L Home 3
5	7	1	3	266.0	84.0	78	60	0.0	L Home 4
5	6	1	4	348.0	84.0	78	60	0.0	L Home 5
6	10	2	0	20.0	148.0	78	60	0.0	L Bottom 1
6	9	2	1	102.0	148.0	78	60	0.0	L Bottom 2
6	8	2	2	184.0	148.0	78	60	0.0	L Bottom 3
6	7	2	3	266.0	148.0	78	60	0.0	L Bottom 4
6	6	2	4	348.0	148.0	78	60	0.0	L Bottom 5
0	0	0	6	799.0	20.0	78	60	0.0	R Top 1
0	1	0	7	881.0	20.0	78	60	0.0	R Top 2
0	2	0	8	963.0	20.0	78	60	0.0	R Top 3
0	3	0	9	1045.0	20.0	78	60	0.0	R Top 4
0	4	0	10	1127.0	20.0	78	60	0.0	R Top 5
1	0	1	6	799.0	84.0	78	60	0.0	R Home 1
1	1	1	7	881.0	84.0	78	60	0.0	R Home 2
1	2	1	8	963.0	84.0	78	60	0.0	R Home 3
1	3	1	9	1045.0	84.0	78	60	0.0	R Home 4
1	4	1	10	1127.0	84.0	78	60	0.0	R Home 5
2	0	2	6	799.0	148.0	78	60	0.0	R Bottom 1
2	1	2	7	881.0	148.0	78	60	0.0	R Bottom 2
2	2	2	8	963.0	148.0	78	60	0.0	R Bottom 3
2	3	2	9	1045.0	148.0	78	60	0.0	R Bottom 4
2	4	2	10	1127.0	148.0	78	60	0.0	R Bottom 5
6	11	3	0	300.0	212.0	78	60	0.0	L Thumb 1
5	11	3	1	382.0	212.0	78	60	0.0	L Thumb 2
4	11	3	2	464.0	212.0	78	60	0.0	L Thumb 3
2	5	3	10	847.0	212.0	78	60	0.0	R Thumb 1
1	5	3	9	765.0	212.0	78	60	0.0	R Thumb 2
0	5	3	8	683.0	212.0	78	60	0.0	R Thumb 3
3	0	4	5	673.0	84.0	78	60	0.0	Center TO(0)
100	0	4	3	632.0	20.0	78	60	0.0	Encoder 0 CW (Mouse Wheel Up)
100	1	4	4	714.0	20.0	78	60	0.0	Encoder 0 CCW (Mouse Wheel Down)
