vial_row	vial_col	layout_row	layout_col	canvas_x	canvas_y	canvas_width	canvas_height	canvas_rotation	description
0	0	0	0	20.0	20.0	78	60	0.0	Left top row - TO(0)
0	1	0	1	102.0	20.0	78	60	0.0	Left top row - Q
0	2	0	2	184.0	20.0	78	60	0.0	Left top row - W
0	3	0	3	266.0	20.0	78	60	0.0	Left top row - E
0	4	0	4	348.0	20.0	78	60	0.0	Left top row - R
0	5	0	5	430.0	20.0	78	60	0.0	Left top row - T
0	6	0	6	512.0	20.0	78	60	0.0	Left top row - Print Screen
1	0	1	0	20.0	84.0	78	60	0.0	Left home row - Caps
1	1	1	1	102.0	84.0	78	60	0.0	Left home row - A
1	2	1	2	184.0	84.0	78	60	0.0	Left home row - S
1	3	1	3	266.0	84.0	78	60	0.0	Left home row - D
1	4	1	4	348.0	84.0	78	60	0.0	Left home row - F
1	5	1	5	430.0	84.0	78	60	0.0	Left home row - G
1	6	1	6	512.0	84.0	78	60	0.0	Left home row - Tab
2	0	2	0	20.0	148.0	78	60	0.0	Left bottom row - LShift
2	1	2	1	102.0	148.0	78	60	0.0	Left bottom row - Z
2	2	2	2	184.0	148.0	78	60	0.0	Left bottom row - X
2	3	2	3	266.0	148.0	78	60	0.0	Left bottom row - C
2	4	2	4	348.0	148.0	78	60	0.0	Left bottom row - V
2	5	2	5	430.0	148.0	78	60	0.0	Left bottom row - B
3	3	3	3	266.0	212.0	78	60	0.0	Left thumb cluster - MHEN
3	4	3	4	348.0	212.0	78	60	0.0	Left thumb cluster - LT1 Space
3	5	3	5	430.0	212.0	117	60	0.0	Left thumb cluster - LCtrl (wide)
4	0	0	13	1131.0	20.0	78	60	0.0	Right top row - KC_NO
4	1	0	12	1049.0	20.0	78	60	0.0	Right top row - P
4	2	0	11	967.0	20.0	78	60	0.0	Right top row - O
4	3	0	10	885.0	20.0	78	60	0.0	Right top row - I
4	4	0	9	803.0	20.0	78	60	0.0	Right top row - U
4	5	0	8	721.0	20.0	78	60	0.0	Right top row - Y
4	6	0	7	639.0	20.0	78	60	0.0	Right top row - RAlt
5	0	1	13	1131.0	84.0	78	60	0.0	Right home row - TD(0)
5	1	1	12	1049.0	84.0	78	60	0.0	Right home row - Bksp
5	2	1	11	967.0	84.0	78	60	0.0	Right home row - L
5	3	1	10	885.0	84.0	78	60	0.0	Right home row - K
5	4	1	9	803.0	84.0	78	60	0.0	Right home row - J
5	5	1	8	721.0	84.0	78	60	0.0	Right home row - H
5	6	1	7	639.0	84.0	78	60	0.0	Right home row - RShift
6	0	2	13	1131.0	148.0	78	60	0.0	Right bottom row - Enter
6	1	2	12	1049.0	148.0	78	60	0.0	Right bottom row - ?
6	2	2	11	967.0	148.0	78	60	0.0	Right bottom row - ;
6	3	2	10	885.0	148.0	78	60	0.0	Right bottom row - M
6	4	2	9	803.0	148.0	78	60	0.0	Right bottom row - ,
6	5	2	8	721.0	148.0	78	60	0.0	Right bottom row - N
7	3	3	10	885.0	212.0	78	60	0.0	Right thumb cluster - RGui
7	4	3	9	803.0	212.0	78	60	0.0	Right thumb cluster - LT2 Space
7	5	3	8	686.0	212.0	117	60	0.0	Right thumb cluster - LT3 Tab (wide)
